COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,60,12,2,2,4,2,9,6,2,2,3,2,5,1,0,3,4,1,1,0,1,2,1
Q002,25,14,1,0,1,2,2,2,8,1,1,0,1,0,1,0,1,0,0,1,0,2,1
Q003,26,10,9,3,3,0,1,0,1,0,9,2,1,0,0,0,1,0,0,0,0,0,1
Q004,6,1,2,25,6,4,3,0,1,0,5,1,3,3,0,0,0,0,0,0,0,0,0
Q005,19,1,2,9,21,7,3,1,0,1,3,1,3,2,0,0,0,0,0,0,1,2,0
Q006,19,2,2,1,7,41,6,2,5,2,0,1,3,6,1,1,2,1,0,0,0,1,0
Q007,24,1,3,0,1,3,20,5,2,0,1,0,0,3,1,2,3,4,2,2,2,1,1
Q008,18,2,0,1,2,2,3,16,1,2,1,0,0,1,0,2,0,0,0,1,3,2,0
Q009,15,3,3,0,0,1,0,3,22,2,1,1,0,1,0,1,0,0,0,0,0,4,0
Q010,10,3,5,0,0,0,1,0,5,23,6,4,1,0,1,3,0,0,0,0,1,2,6
Q011,8,1,5,3,2,2,0,0,1,1,21,3,0,0,0,0,0,0,0,0,0,3,2
Q012,9,1,2,4,0,3,1,1,1,4,9,28,0,0,0,0,1,1,2,1,0,0,0
Q013,10,1,2,8,4,4,1,1,0,3,0,1,21,11,1,0,1,0,0,0,0,2,0
Q014,14,0,1,1,7,6,1,2,2,1,0,1,7,22,1,0,0,0,0,0,0,1,0
Q015,5,0,0,0,2,2,1,1,1,1,0,1,1,4,12,8,2,0,0,0,0,1,0
Q016,7,2,0,1,0,3,3,0,0,1,2,0,1,4,5,15,9,0,0,0,0,0,0
Q017,12,0,1,0,1,8,3,3,0,1,1,0,0,1,2,4,39,2,2,1,0,0,1
Q018,6,0,0,0,0,0,11,4,0,0,0,0,0,0,1,0,1,25,5,4,4,0,0
Q019,8,0,1,1,0,0,7,3,1,0,0,0,0,0,1,1,0,3,18,2,0,0,0
Q020,4,1,0,0,0,0,3,4,0,1,0,0,0,0,0,0,1,3,1,5,0,1,0
Q021,10,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,16,1,0
Q022,6,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,8,1
Q023,6,0,1,1,1,0,0,0,2,11,3,1,0,0,0,0,0,0,1,0,1,4,25
