,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,571,339,702,347,490,397,387,368,168,306,299,139,127,152,0,64,130,74,24,107,101,48,95
Q002,287,80,300,119,146,91,121,151,111,128,78,57,44,42,0,10,27,25,8,32,81,8,59
Q003,589,276,315,271,392,243,115,121,152,187,199,122,156,78,0,40,41,17,6,18,66,7,73
Q004,266,98,266,171,275,145,52,43,67,86,85,57,133,45,1,31,26,9,3,9,18,2,37
Q005,428,124,413,352,302,286,215,121,70,103,124,79,171,114,0,54,80,45,20,23,22,7,49
Q006,260,87,218,165,289,260,310,199,32,60,102,47,89,150,0,94,151,66,11,19,18,21,36
Q007,272,102,111,94,173,253,305,219,40,23,47,20,70,74,0,58,120,150,26,54,25,34,21
Q008,269,122,106,52,109,174,242,154,66,32,26,15,25,34,0,38,56,79,19,76,38,48,22
Q009,132,116,144,86,56,38,35,77,133,201,50,118,20,30,0,4,21,16,2,17,44,16,127
Q010,175,132,156,115,117,55,42,48,174,277,110,93,64,21,1,19,17,13,6,11,53,1,178
Q011,161,81,136,98,107,74,40,22,50,98,59,60,59,38,1,12,15,12,3,5,16,5,38
Q012,98,41,104,76,58,52,24,13,87,107,52,60,53,29,0,19,12,7,2,3,15,3,60
Q013,75,39,92,146,128,110,66,28,35,37,52,46,122,105,0,33,26,17,5,2,6,3,19
Q014,66,36,68,86,97,129,75,34,22,18,29,38,83,81,0,26,28,24,5,7,6,8,9
Q015,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q016,47,10,19,46,84,65,72,35,3,12,19,12,35,56,0,20,58,31,5,6,1,27,10
Q017,87,15,31,30,80,119,109,58,10,9,19,11,36,56,0,48,88,68,26,15,1,27,17
Q018,48,26,8,15,38,74,105,99,8,12,4,3,18,15,0,31,63,41,32,16,4,31,11
Q019,23,5,4,4,14,14,40,25,2,0,3,0,5,2,0,17,37,26,0,6,3,8,1
Q020,64,32,15,7,14,34,48,41,18,15,0,3,5,3,0,8,4,11,3,15,8,9,4
Q021,81,34,53,8,33,19,25,37,31,38,12,12,6,3,0,3,4,8,1,13,41,6,17
Q022,38,5,10,7,21,21,31,43,7,3,4,8,17,6,0,8,16,20,10,7,3,10,3
Q023,122,68,95,63,74,49,24,21,135,187,80,82,33,27,0,10,9,6,3,7,17,1,167
