,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,552,245,388,150,283,203,175,174,133,130,118,68,64,43,0,36,54,40,26,49,33,25,80
Q002,247,37,135,29,45,34,50,55,42,42,22,22,12,19,0,2,7,14,2,11,11,3,35
Q003,565,158,180,77,224,94,73,56,110,75,42,45,46,33,0,20,12,9,2,3,36,7,47
Q004,238,54,158,38,196,78,41,17,69,77,40,35,116,42,0,28,11,5,3,2,4,5,36
Q005,378,65,243,118,187,150,183,101,50,50,55,73,80,36,0,77,79,30,16,9,20,11,48
Q006,311,44,122,57,166,122,121,79,29,19,34,31,47,46,0,37,57,32,10,11,7,11,49
Q007,268,47,48,17,169,147,111,157,20,16,14,15,53,28,0,28,35,57,28,52,19,14,7
Q008,330,48,47,11,61,64,126,54,48,9,6,3,14,9,0,24,29,41,14,12,13,28,10
Q009,149,81,111,28,44,24,31,33,86,156,33,51,31,9,0,2,13,7,2,6,17,14,77
Q010,246,75,125,30,51,45,16,17,104,119,43,64,15,36,0,8,13,8,1,5,26,8,122
Q011,200,39,119,23,113,51,25,5,57,82,16,30,23,7,0,23,7,3,0,1,5,8,34
Q012,143,31,87,26,68,28,9,12,37,61,31,35,20,16,0,12,3,1,0,2,8,6,54
Q013,141,25,84,56,108,74,45,14,16,31,30,47,57,51,0,33,18,22,2,1,7,6,51
Q014,136,14,65,26,74,78,41,23,33,20,17,18,45,49,1,32,25,5,2,2,8,4,50
Q015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Q016,56,8,31,20,25,54,61,51,4,10,7,17,19,19,0,8,19,37,4,2,0,15,9
Q017,123,19,21,17,45,78,69,27,14,9,16,6,8,22,1,46,45,40,27,1,3,7,10
Q018,68,16,23,9,46,62,56,59,15,12,4,4,6,20,0,15,20,30,27,5,3,7,5
Q019,25,13,4,7,16,15,15,9,3,3,0,0,4,1,0,4,23,18,0,1,0,7,0
Q020,74,30,10,8,16,8,25,28,5,4,1,1,2,0,0,2,2,20,0,6,4,7,3
Q021,40,59,21,2,14,3,6,8,16,2,2,4,2,2,0,1,0,0,1,4,7,2,6
Q022,36,14,2,3,14,13,19,27,3,3,3,0,2,3,0,11,6,16,5,0,0,5,6
Q023,132,61,75,11,47,14,23,9,81,151,15,32,17,15,0,6,4,2,2,2,5,1,108
