,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,94,52,144,76,123,101,74,79,47,39,51,28,31,27,0,22,24,13,6,15,23,5,19
Q002,67,13,56,24,20,19,29,22,20,24,15,10,8,10,0,1,6,3,2,3,3,1,11
Q003,124,53,58,33,70,39,26,20,22,26,31,15,25,10,0,6,3,3,1,3,16,1,12
Q004,72,19,45,33,49,37,23,12,15,17,14,11,23,14,0,4,4,7,2,3,5,4,6
Q005,125,40,78,54,49,61,45,19,15,16,15,14,28,31,0,20,12,10,9,4,8,2,13
Q006,77,32,32,44,69,67,70,51,9,18,19,9,22,33,0,20,32,20,7,5,3,5,6
Q007,51,25,18,16,46,88,55,45,12,12,9,5,10,13,0,16,17,20,6,8,11,11,2
Q008,64,33,13,10,16,34,48,21,16,7,7,2,7,9,1,8,6,21,4,20,9,3,6
Q009,47,24,27,11,16,13,19,17,33,45,9,21,6,5,0,3,2,2,0,6,3,1,20
Q010,47,23,29,19,17,23,8,7,42,40,17,11,10,6,0,6,4,0,2,0,10,1,13
Q011,48,10,32,22,21,12,8,3,13,21,7,16,14,5,0,5,3,2,0,2,2,0,4
Q012,28,6,11,14,11,7,3,8,16,7,9,11,6,10,0,5,1,1,0,1,4,0,8
Q013,23,11,21,31,33,17,19,6,6,4,7,11,23,22,0,5,4,3,2,2,1,3,6
Q014,21,9,7,16,18,35,15,11,7,11,7,12,27,26,0,5,9,3,0,2,3,3,8
Q015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q016,14,1,0,7,15,18,11,5,2,1,3,1,4,7,0,4,15,10,4,5,0,4,2
Q017,24,6,3,6,13,24,18,7,1,1,3,3,4,6,1,10,11,8,6,4,1,0,2
Q018,8,4,4,3,5,28,18,21,4,1,2,4,6,6,0,7,13,8,5,5,2,4,1
Q019,7,2,2,4,3,6,6,8,2,0,2,0,1,2,0,2,8,2,1,1,0,0,1
Q020,17,4,2,1,6,10,8,8,3,1,3,0,2,1,0,2,1,1,0,4,3,0,0
Q021,24,6,6,4,5,5,9,4,5,11,4,3,2,2,0,0,3,2,0,2,6,0,3
Q022,5,2,2,2,0,0,11,4,1,0,0,0,3,1,0,1,0,5,3,3,0,2,0
Q023,8,17,11,6,6,10,6,3,22,19,5,9,6,5,0,5,0,3,1,1,1,1,36
