,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,58,25,65,25,51,40,41,38,23,24,22,12,11,8,0,5,8,10,2,14,14,1,12
Q002,37,7,16,7,9,6,19,6,8,6,5,4,4,1,0,0,4,0,0,1,5,0,2
Q003,81,20,29,20,42,20,19,11,15,18,14,4,6,4,0,3,4,1,4,0,1,0,4
Q004,57,9,17,7,27,18,10,5,14,8,12,7,12,4,0,0,7,1,1,2,1,0,6
Q005,69,8,47,26,36,38,24,16,8,11,13,11,17,19,0,5,10,4,6,0,5,2,8
Q006,61,19,20,15,30,23,28,24,5,7,4,3,15,16,0,11,9,6,1,1,3,1,6
Q007,33,13,8,7,21,35,21,19,8,4,5,3,1,9,0,5,10,7,1,2,6,3,4
Q008,46,7,8,5,5,22,25,11,4,6,1,1,3,1,0,3,2,7,1,5,5,0,3
Q009,36,21,14,5,8,3,13,6,27,19,4,8,4,4,0,2,2,1,0,2,3,1,10
Q010,44,10,23,17,10,14,4,6,21,22,10,11,6,2,0,2,1,0,2,0,8,0,11
Q011,39,4,23,6,21,13,5,1,9,23,7,5,8,6,0,2,2,3,0,0,3,0,4
Q012,14,5,9,5,9,10,4,2,7,4,0,7,3,1,0,0,1,2,0,1,3,1,6
Q013,35,3,9,7,18,16,5,2,2,6,6,14,10,11,0,3,6,4,2,0,3,0,6
Q014,25,2,4,8,17,21,7,6,2,7,3,4,16,10,0,5,8,0,0,0,0,2,4
Q015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q016,6,0,4,4,4,9,12,7,1,2,1,2,3,3,0,1,5,7,1,1,0,5,0
Q017,23,6,2,3,5,15,14,5,3,2,1,2,1,1,1,14,9,7,7,0,0,1,0
Q018,10,2,2,1,5,14,6,11,3,2,1,0,2,6,0,5,10,7,2,1,0,1,3
Q019,4,2,8,1,3,2,5,2,0,0,0,0,1,0,0,1,4,5,0,0,0,0,0
Q020,11,5,1,1,3,4,3,4,1,0,0,0,0,1,0,1,3,4,1,0,2,1,1
Q021,7,3,6,0,4,4,1,1,2,2,0,0,0,2,0,0,0,1,0,1,1,1,3
Q022,7,1,1,2,1,1,1,6,2,0,0,0,1,0,0,1,2,4,1,0,0,2,0
Q023,14,16,5,1,7,2,7,2,9,18,2,8,1,6,0,1,0,2,0,1,1,0,11
